#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Wed Sep 07 00:42:45 EDT 2016,73,73,Assignment0Suite,ClearTest0+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0+ SizeTest3+ , ,ClearTest1- EverythingTest0- SizeTest1- SizeTest2- , ,
0,Wed Sep 07 00:42:45 EDT 2016,73,73,Assignment0Suite,ClearTest0+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0+ SizeTest3+ , ,ClearTest1- EverythingTest0- SizeTest1- SizeTest2- , ,
1,Wed Sep 07 01:14:12 EDT 2016,66,-7,Assignment0Suite,ClearTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest3 , ,ClearTest1 EverythingTest0 InsertTest3- SizeTest1 SizeTest2 , ,
2,Wed Sep 07 01:31:14 EDT 2016,26,-40,Assignment0Suite,ClearTest0 ClearTest1+ InsertTest3+ SizeTest0 , ,EverythingTest0 InsertTest0- InsertTest1- InsertTest2- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- SizeTest1 SizeTest2 SizeTest3- , ,
3,Wed Sep 07 01:46:53 EDT 2016,26,0,Assignment0Suite,ClearTest0 ClearTest1 InsertTest3 SizeTest0 , ,EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 SizeTest3 , ,
4,Wed Sep 07 01:49:25 EDT 2016,26,0,Assignment0Suite,ClearTest0 ClearTest1 InsertTest3 SizeTest0 , ,EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 SizeTest3 , ,
5,Wed Sep 07 01:53:00 EDT 2016,20,-6,Assignment0Suite,ClearTest0 ClearTest1 InsertTest3 , ,EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0- SizeTest1 SizeTest2 SizeTest3 , ,
6,Wed Sep 07 01:54:46 EDT 2016,20,0,Assignment0Suite,ClearTest0 ClearTest1 InsertTest3 , ,EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,
7,Wed Sep 07 01:56:01 EDT 2016,20,0,Assignment0Suite,ClearTest0 ClearTest1 InsertTest3 , ,EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,
8,Wed Sep 07 02:04:08 EDT 2016,20,0,Assignment0Suite,ClearTest0 ClearTest1 InsertTest3 , ,EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,
9,Wed Sep 07 02:07:58 EDT 2016,20,0,Assignment0Suite,ClearTest0 ClearTest1 InsertTest3 , ,EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,
10,Wed Sep 07 02:09:34 EDT 2016,66,46,Assignment0Suite,ClearTest0 ClearTest1 InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3 RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ , ,EverythingTest0 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,
11,Wed Sep 07 02:10:08 EDT 2016,66,0,Assignment0Suite,ClearTest0 ClearTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,EverythingTest0 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,
12,Wed Sep 07 02:12:20 EDT 2016,66,0,Assignment0Suite,ClearTest0 ClearTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,EverythingTest0 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,
13,Wed Sep 07 02:13:19 EDT 2016,80,14,Assignment0Suite,ClearTest0 ClearTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0+ SizeTest3+ , ,EverythingTest0 SizeTest1 SizeTest2 , ,
14,Wed Sep 07 02:16:29 EDT 2016,80,0,Assignment0Suite,ClearTest0 ClearTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 SizeTest1 SizeTest2 , ,
15,Wed Sep 07 10:45:31 EDT 2016,80,0,Assignment0Suite,ClearTest0 ClearTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 SizeTest1 SizeTest2 , ,
16,Wed Sep 07 15:48:14 EDT 2016,80,0,Assignment0Suite,ClearTest0 ClearTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 SizeTest1 SizeTest2 , ,
17,Wed Sep 07 15:49:49 EDT 2016,80,0,Assignment0Suite,ClearTest0 ClearTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 SizeTest1 SizeTest2 , ,
18,Wed Sep 07 15:51:00 EDT 2016,80,0,Assignment0Suite,ClearTest0 ClearTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 SizeTest1 SizeTest2 , ,
19,Wed Sep 07 16:00:28 EDT 2016,73,-7,Assignment0Suite,ClearTest0 ClearTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 RemoveTest2- SizeTest1 SizeTest2 , ,
20,Wed Sep 07 16:01:00 EDT 2016,73,0,Assignment0Suite,ClearTest0 ClearTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 RemoveTest2 SizeTest1 SizeTest2 , ,
21,Wed Sep 07 16:01:52 EDT 2016,73,0,Assignment0Suite,ClearTest0 ClearTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 RemoveTest2 SizeTest1 SizeTest2 , ,
22,Wed Sep 07 16:16:21 EDT 2016,73,0,Assignment0Suite,ClearTest0 ClearTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest3 , ,EverythingTest0 RemoveTest2 SizeTest1 SizeTest2 , ,
23,Wed Sep 07 16:28:06 EDT 2016,100,27,Assignment0Suite,ClearTest0 ClearTest1 EverythingTest0+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2+ RemoveTest3 SizeTest0 SizeTest1+ SizeTest2+ SizeTest3 , , , ,
24,Wed Sep 07 16:29:14 EDT 2016,100,0,Assignment0Suite,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
25,Thu Sep 08 14:52:45 EDT 2016,100,0,Assignment0Suite,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
26,Thu Sep 08 15:24:43 EDT 2016,100,0,Assignment0Suite,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
27,Thu Sep 08 15:48:29 EDT 2016,100,0,Assignment0Suite,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
28,Thu Sep 08 15:51:44 EDT 2016,100,0,Assignment0Suite,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
